name,age,gender,branch,attendance_percentage,current_cgpa,graduation_percentage,hsc,ssc,aptitude_score,communication_skills,technical_skills,domain,internship,certifications,placement_status
Student_1,22,Male,HR,70.7,6.05,79.1,92.3,76.0,44,4,4,IT,No,10,Placed
Student_2,20,Male,HR,85.9,6.41,70.7,66.9,67.6,32,9,7,IT,No,More than 20,Placed
Student_3,22,Male,Management,67.6,9.8,94.2,78.6,73.8,36,4,10,Other,Yes,More than 20,Placed
Student_4,21,Female,Other,89.1,9.7,80.7,79.5,91.9,37,6,4,IT,No,10,Not Placed
Student_5,22,Male,CSE,75.6,9.11,91.4,66.5,89.8,30,7,9,IT,No,10,Placed
Student_6,20,Female,IT,68.0,7.45,60.4,72.8,84.4,54,4,10,IT,Yes,5,Placed
Student_7,20,Male,Management,87.6,7.15,83.9,86.0,73.5,53,4,8,Other,No,10,Placed
Student_8,23,Female,CSE,90.9,6.94,80.6,94.8,61.1,50,9,5,Other,No,15,Placed
Student_9,24,Male,Management,91.3,8.96,68.5,87.2,94.0,41,7,6,IT,No,More than 20,Placed
Student_10,21,Female,CSE,72.5,9.13,81.9,81.1,90.7,59,6,9,Other,No,15,Placed
Student_11,23,Female,IT,67.9,9.61,81.9,64.7,72.2,53,9,4,HR,No,10,Not Placed
Student_12,24,Male,Management,87.8,6.21,91.3,65.9,85.4,40,8,7,Management,Yes,5,Placed
Student_13,22,Male,Other,80.7,6.66,91.8,90.2,64.1,34,4,8,Management,No,15,Placed
Student_14,20,Female,Management,94.8,7.74,90.9,86.9,73.1,46,7,6,IT,No,10,Placed
Student_15,21,Female,Management,93.1,9.06,74.5,91.4,88.2,55,8,6,HR,No,15,Placed
Student_16,21,Female,Management,98.4,8.35,92.0,88.0,65.0,57,6,6,Management,Yes,10,Placed
Student_17,22,Male,CSE,64.9,8.47,81.5,76.0,91.2,59,10,9,Other,Yes,More than 20,Not Placed
Student_18,22,Male,CSE,87.1,6.1,69.7,89.0,60.1,34,5,8,Management,Yes,10,Placed
Student_19,23,Male,Other,60.5,8.56,85.7,92.3,65.7,34,7,7,IT,No,15,Not Placed
Student_20,23,Female,HR,95.8,9.29,67.8,64.6,68.5,43,4,5,Other,Yes,More than 20,Placed
Student_21,20,Female,Management,71.0,7.75,84.2,72.6,78.0,50,5,10,IT,Yes,15,Placed
